Name,lat,lon
Saignon,43.86308,5.42838
Sablé-sur-Sarthe,47.83765,-0.33294
Rouziers-de-Touraine,47.5172,0.64848
Rouillon,48.00629,0.13527
Rouffignac-Saint-Cernin-de-Reilhac,45.05,0.96667
Roscanvel,48.3152,-4.54937
Rimogne,49.84075,4.53941
Razès,46.03337,1.34415
Quévert,48.46391,-2.08663
Putanges-Pont-Écrepin,48.76596,-0.24528
Pujaut,44.00479,4.77466
Puiseux-en-France,49.05552,2.50035
Prahecq,46.25915,-0.34556
Portets,44.6972,-0.42459
Pont-l'Évêque,49.28912,0.19161
Pont-Évêque,45.53217,4.90922
Pont-à-Vendin,50.47358,2.88884
Pompignac,44.85115,-0.43711
Poisat,45.15852,5.76051
Plonévez-Porzay,48.12538,-4.22023
Plogastel-Saint-Germain,47.98375,-4.27186
Ploeren,47.65619,-2.86592
Pleumeur-Bodou,48.77309,-3.51735
Plaisance-du-Touch,43.56554,1.29645
Pionsat,46.10963,2.69319
Peyrestortes,42.75395,2.85102
Perrusson,47.09873,1.01438
Percy,48.91714,-1.18916
Peillac,47.71346,-2.21954
Parcé-sur-Sarthe,47.84375,-0.2014
Pancé,47.8812,-1.65911
Palinges,46.55357,4.21964
Orgon,43.79108,5.03869
Orgelet,46.52096,5.61049
Orchies,50.46667,3.23333
Nommay,47.5378,6.84219
Nomain,50.49857,3.24991
Nieppe,50.70425,2.83506
Neuville-en-Ferrain,50.74839,3.15676
Neufchâteau,48.35557,5.69602
Nesmy,46.59102,-1.40167
Nersac,45.62557,0.05098
Muttersholtz,48.26761,7.53567
Mundolsheim,48.64215,7.71378
Mouchin,50.51639,3.29627
Mouchamps,46.7808,-1.06281
Morigny-Champigny,48.44685,2.18351
Montricoux,44.07574,1.61957
Montjean-sur-Loire,47.38842,-0.85873
Montier-en-Der,48.47823,4.77073
Monteils,44.16862,1.57608
Montdidier,49.648,2.56991
Montbron,45.66726,0.50002
Montbazens,44.47807,2.2298
Montauban-de-Bretagne,48.19907,-2.04756
Montastruc-la-Conseillère,43.71982,1.59019
Montaigut,45.61499,3.44896
Miélan,43.42942,0.30785
Meylan,45.20978,5.77762
Mennecy,48.56903,2.44384
Ménestreau-en-Villette,47.69962,2.02333
Mauléon-Licharre,43.22422,-0.88717
Maubec,43.84379,5.13919
Mandeure,47.44921,6.80762
Malville,47.35996,-1.86321
Maisnil-lès-Ruitz,50.45342,2.58992
Magny-le-Désert,48.57015,-0.32732
Machecoul,46.99336,-1.82298
Luz-Saint-Sauveur,42.87229,-0.00311
Luxeuil-les-Bains,47.8171,6.365
Lucenay-lès-Aix,46.70274,3.48308
Louverné,48.1226,-0.71749
Loubert,45.91422,0.58617
